shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
M1000104,40.848502,-73.937569,150007
M1000104,40.848602,-73.937459,150008
M1000104,40.848667,-73.937387,150009
M1000104,40.848667,-73.937387,160001
M1000104,40.848712,-73.937339,160002
M1000104,40.848802,-73.937229,160003
M1000104,40.848922,-73.937089,160004
M1000104,40.849522,-73.936399,160005
M1000104,40.849832,-73.936029,160006
M1000104,40.849992,-73.935869,160007
M1000104,40.850084,-73.935797,160008
M1000104,40.850084,-73.935797,170001
M1000104,40.850172,-73.935729,170002
M1000104,40.850772,-73.935429,170003
M1000104,40.851442,-73.935089,170004
M1000104,40.852062,-73.934779,170005
M1000104,40.852102,-73.934759,170006
M1000104,40.852207,-73.934703,170007
M1000104,40.852207,-73.934703,180001
M1000104,40.852702,-73.934439,180002
M1000104,40.852952,-73.934309,180003
M1000104,40.853192,-73.934199,180004
M1000104,40.853652,-73.933959,180005
M1000104,40.854092,-73.933729,180006
M1000104,40.854152,-73.933699,180007
M1000104,40.854472,-73.933598,180008
M1000104,40.854472,-73.933598,190001
M1000104,40.855322,-73.933329,190002
M1000104,40.855472,-73.933269,190003
M1000104,40.855602,-73.933209,190004
M1000104,40.855742,-73.933139,190005
M1000104,40.856292,-73.932849,190006
M1000104,40.856482,-73.932739,190007
M1000104,40.856692,-73.932629,190008
M1000104,40.856991,-73.932479,190009
M1000104,40.856991,-73.932479,200001
M1000104,40.857832,-73.932059,200002
M1000104,40.858252,-73.931829,200003
M1000104,40.858522,-73.931679,200004
M1000104,40.858550,-73.931666,200005
M1000104,40.858550,-73.931666,210001
M1000104,40.858842,-73.931529,210002
M1000104,40.859292,-73.931339,210003
M1000104,40.859672,-73.931189,210004
M1000104,40.860222,-73.930979,210005
M1000104,40.860452,-73.930869,210006
M1000104,40.860642,-73.930759,210007
M1000104,40.860832,-73.930649,210008
M1000104,40.860907,-73.930603,210009
M1000104,40.860907,-73.930603,220001
M1000104,40.861012,-73.930539,220002
M1000104,40.861602,-73.930199,220003
M1000104,40.861852,-73.930079,220004
M1000104,40.862002,-73.930029,220005
M1000104,40.862222,-73.929979,220006
M1000104,40.862462,-73.929949,220007
M1000104,40.862592,-73.929949,220008
M1000104,40.862722,-73.929969,220009
M1000104,40.862898,-73.929997,220010
M1000104,40.862898,-73.929997,230001
M1000104,40.863092,-73.930029,230002
M1000104,40.863242,-73.930029,230003
M1000104,40.863342,-73.930019,230004
M1000104,40.863412,-73.930009,230005
M1000104,40.863482,-73.929989,230006
M1000104,40.863562,-73.929969,230007
M1000104,40.863772,-73.929869,230008
M1000104,40.863882,-73.929779,230009
M1000104,40.864242,-73.929419,230010
M1000104,40.864382,-73.929259,230011
M1000104,40.864502,-73.929119,230012
M1000104,40.864662,-73.928879,230013
M1000104,40.864732,-73.928749,230014
M1000104,40.864952,-73.928349,230015
M1000104,40.865072,-73.928119,230016
M1000104,40.865262,-73.927759,230017
M1000104,40.865522,-73.927239,230018
M1000104,40.865343,-73.927128,230019
M1000104,40.865343,-73.927128,240001
M1000104,40.864532,-73.926629,240002
M1000104,40.863562,-73.926009,240003
M1000104,40.863408,-73.925910,240004
M1000104,40.863408,-73.925910,250001
M1000104,40.862582,-73.925379,250002
M1000104,40.861582,-73.924729,250003
M1000104,40.861522,-73.924689,250004
M1000104,40.861402,-73.924619,250005
M1000104,40.861321,-73.924567,250006
M1000104,40.861321,-73.924567,260001
M1000104,40.860902,-73.924299,260002
M1000104,40.860572,-73.924089,260003
M1000104,40.859922,-73.923679,260004
M1000104,40.859312,-73.923289,260005
M1000104,40.859012,-73.923099,260006
M1000104,40.858802,-73.922969,260007
M1000104,40.859572,-73.922449,260008
M1000104,40.859572,-73.922449,270001
M1000104,40.859692,-73.922369,270002
M1000104,40.860102,-73.922079,270003
M1000104,40.860222,-73.921999,270004
M1000104,40.860682,-73.921669,270005
M1000104,40.860942,-73.921489,270006
M1000104,40.861302,-73.921239,270007
M1000104,40.861372,-73.921189,270008
M1000104,40.861495,-73.921096,270009
M1000104,40.861495,-73.921096,280001
M1000104,40.861652,-73.920979,280002
M1000104,40.861922,-73.920779,280003
M1000104,40.862592,-73.920289,280004
M1000104,40.863162,-73.919869,280005
M1000104,40.863282,-73.919779,280006
M1000104,40.863482,-73.919629,280007
M1000104,40.863792,-73.919399,280008
M1000104,40.863932,-73.919299,280009
M1000104,40.864262,-73.919062,280010
M1000104,40.864262,-73.919062,290001
M1000104,40.864462,-73.918919,290002
M1000104,40.865132,-73.918429,290003
M1000104,40.865562,-73.918119,290004
M1000104,40.865742,-73.917979,290005
M1000104,40.866637,-73.917315,290006
M1000104,40.866637,-73.917315,300001
M1000104,40.866822,-73.917179,300002
M1000104,40.867012,-73.917059,300003
M1000104,40.867622,-73.916589,300004
M1000104,40.868242,-73.916139,300005
M1000104,40.868872,-73.915679,300006
M1000104,40.869318,-73.915334,300007
M1000104,40.869318,-73.915334,310001
M1000104,40.869532,-73.915169,310002
M1000104,40.870232,-73.914699,310003
M1000104,40.870722,-73.914359,310004
M1000104,40.871042,-73.914139,310005
M1000104,40.871172,-73.914069,310006
M1000104,40.871772,-73.913459,310007
M1000104,40.872322,-73.912749,310008
M1000104,40.872464,-73.912582,310009
